smblid,avg(T.twitterpermin)
ADBE,10.775000
ADBE,14.500000
ADBE,10.766667
ADBE,59.200000
ADBE,34.100000
AKAM,1.300000
AKAM,4.500000
AKAM,0.800000
AKAM,2.633333
AKAM,1.050000
ALTR,3.200000
ALTR,4.825000
ALTR,5.450000
ALTR,2.833333
ALXN,0.075000
ALXN,0.075000
ALXN,0.125000
AMAT,0.350000
AMAT,1.875000
AMAT,0.500000
AMAT,0.150000
AMAT,3.066667
AMGN,2.325000
AMGN,2.133333
AMGN,0.933333
AMGN,1.575000
AMZN,122.925000
AMZN,208.800000
AMZN,172.066667
AMZN,152.325000
APOL,3.200000
BBBY,0.000000
BBBY,0.000000
BBBY,0.025000
BBBY,0.000000
BIDU,5.500000
BIDU,2.275000
BIDU,1.400000
BRCM,3.475000
BRCM,4.200000
BRCM,1.425000
CELG,0.275000
CELG,0.325000
CELG,0.350000
CELG,2.500000
CERN,0.450000
CERN,0.650000
CERN,0.766667
CERN,1.100000
CHRW,0.000000
CHRW,0.025000
COST,11.225000
COST,7.075000
CSCO,21.500000
CSCO,24.533333
CSCO,14.600000
CSCO,47.866667
CTRP,0.000000
CTSH,3.350000
CTXS,0.950000
CTXS,1.000000
CTXS,2.200000
CTXS,1.675000
CTXS,1.025000
DELL,49.900000
DELL,51.950000
DELL,92.600000
DELL,46.400000
DELL,61.566667
DLTR,0.512500
DLTR,1.650000
DLTR,0.833333
DLTR,0.600000
ESRX,0.866667
ESRX,2.000000
ESRX,1.525000
ESRX,0.550000
EXPD,0.000000
EXPD,0.000000
EXPD,0.000000
EXPE,0.825000
EXPE,3.200000
EXPE,2.450000
EXPE,3.025000
FAST,0.125000
FAST,0.075000
FFIV,1.500000
FFIV,2.225000
FFIV,0.050000
FFIV,0.100000
FISV,0.100000
FISV,0.300000
FISV,0.066667
FLEX,0.133333
FLEX,2.100000
FLEX,0.700000
FLEX,0.050000
FLIR,0.075000
FLIR,0.500000
FLIR,0.033333
FSLR,1.900000
FSLR,2.950000
GMCR,0.350000
GMCR,1.400000
GRMN,4.950000
ILMN,0.300000
ILMN,1.133333
ILMN,0.575000
INTU,0.000000
INTU,4.533333
INTU,0.575000
INTU,0.850000
ISRG,0.425000
KLAC,0.000000
KLAC,0.150000
KLAC,0.000000
LLTC,0.050000
LRCX,1.375000
LRCX,0.050000
LRCX,0.000000
MCHP,0.100000
MRVL,0.300000
MRVL,0.925000
MRVL,2.400000
MRVL,0.066667
MXIM,0.100000
MXIM,0.000000
MXIM,0.000000
MXIM,0.025000
NFLX,58.225000
NFLX,96.575000
NFLX,90.025000
NFLX,87.916667
NIHD,0.033333
NTAP,4.000000
NTAP,1.366667
NTAP,1.150000
NTAP,1.300000
NVDA,12.075000
NVDA,7.075000
NVDA,13.500000
NVDA,5.833333
ORCL,17.350000
ORCL,31.966667
ORCL,23.850000
ORCL,22.250000
PAYX,0.575000
PAYX,0.100000
PCAR,0.566667
PCAR,0.600000
PCAR,0.225000
PCLN,3.000000
PCLN,1.500000
QCOM,25.066667
QCOM,10.650000
QCOM,2.500000
QGEN,0.000000
QGEN,0.000000
QGEN,0.000000
QGEN,0.000000
ROST,0.157143
ROST,0.400000
ROST,0.366667
ROST,0.300000
SBUX,70.775000
SBUX,78.200000
SBUX,82.166667
SBUX,109.900000
SIAL,0.000000
SIAL,0.233333
SIAL,0.066667
SNDK,1.600000
SNDK,1.633333
SNDK,1.225000
SRCL,0.600000
SRCL,0.250000
SRCL,0.000000
SRCL,0.066667
SRCL,0.000000
SYMC,3.625000
SYMC,3.450000
SYMC,6.133333
SYMC,3.000000
SYMC,1.100000
URBN,3.975000
URBN,20.125000
URBN,3.225000
URBN,6.266667
URBN,2.700000
URBN,4.466667
VRSN,0.225000
VRSN,0.700000
VRSN,0.600000
VRSN,0.533333
WYNN,2.100000
WYNN,0.800000
WYNN,0.266667
WYNN,0.200000
XLNX,1.325000
XLNX,0.075000
XLNX,0.200000
YHOO,137.675000
YHOO,94.825000
