symbol,avg(t.twitterpermin)
ADBE,0.025
ADBE,6.293333
ADBE,4.848485
ADBE,8.359574
ADBE,10.647826
AKAM,0.057143
AKAM,0.2625
AKAM,0.379661
AKAM,0.331034
AKAM,0.327434
ALTR,2.891667
ALTR,3.017021
ALTR,3.556364
ALTR,3.77541
ALXN,0.05
ALXN,0.01
ALXN,0.038462
AMAT,0.053333
AMAT,0.108475
AMAT,0.088312
AMAT,0.092222
AMGN,0.222727
AMGN,0.201887
AMGN,0.259259
AMGN,0.289873
AMZN,48.568182
AMZN,83.419355
AMZN,100.98209
AMZN,106.341758
APOL,0.003704
BBBY,0
BBBY,0
BBBY,0
BBBY,0.014474
BIDU,0.183333
BIDU,0.744444
BIDU,0.2
BIDU,0.327193
BRCM,0.135714
BRCM,0.557143
BRCM,0.409259
BRCM,0.438889
CELG,0.485714
CELG,0.268182
CELG,0.156061
CELG,0.38625
CERN,0.191667
CERN,0.285294
CERN,0.413043
CERN,0.452747
CHRW,0
CHRW,0.003448
CHRW,0.002174
COST,2.5
COST,4.790123
CSCO,1.953333
CSCO,5.87541
CSCO,6.345833
CSCO,6.48087
CTSH,0.211765
CTXS,0.507692
CTXS,0.725641
CTXS,0.736364
CTXS,0.755172
CTXS,0.766964
DELL,29.333333
DELL,33.03
DELL,40.091176
DELL,34.067949
DELL,34.143333
DLTR,0.255556
DLTR,0.28
DLTR,0.3
ESRX,0.029412
ESRX,0.035185
ESRX,0.072
ESRX,0.118
EXPD,0
EXPD,0
EXPD,0
EXPE,0.408333
EXPE,0.568571
EXPE,0.493333
EXPE,0.623077
FAST,0.029032
FAST,0.028889
FFIV,0.023077
FFIV,0.080769
FFIV,0.154023
FFIV,0.123214
FISV,0.039394
FISV,0.061404
FISV,0.05974
FLEX,0.021429
FLEX,0.036364
FLEX,0.035088
FLEX,0.091209
FLIR,0.02381
FLIR,0.022
FLIR,0.044068
FSLR,0.210526
FSLR,0.08961
GMCR,0.08
GMCR,0.08
GRMN,2.793333
ILMN,0.285714
ILMN,0.494286
ILMN,0.394521
INTU,0.171429
INTU,0.302128
INTU,0.785897
ISRG,0.02439
KLAC,0
KLAC,0
KLAC,0.003571
KLAC,0.006757
LLTC,0
LLTC,0.007692
LRCX,0
LRCX,0.014706
LRCX,0.011538
LRCX,0.0125
MCHP,0
MRVL,0.014815
MRVL,0.066667
MRVL,0.13871
MXIM,0
MXIM,0.009524
MXIM,0.01194
MXIM,0.009091
NFLX,27.038462
NFLX,41.094118
NFLX,45.698551
NFLX,50.902128
NIHD,0.006667
NTAP,1.070588
NTAP,0.637097
NTAP,0.535294
NVDA,2.58
NVDA,2.843396
NVDA,3.512963
ORCL,5.5
ORCL,8.1875
ORCL,7.61039
ORCL,6.92782
ORLY,0
PAYX,0.008
PAYX,0.025
PCAR,0.053333
PCAR,0.048837
PCAR,0.134694
PCLN,0.105882
PCLN,0.451515
PCLN,0.226154
QCOM,1.011765
QCOM,1.62439
QCOM,1.764486
QGEN,0
QGEN,0
QGEN,0
QGEN,0
ROST,0.125
ROST,0.139655
ROST,0.057447
SBUX,51.043478
SBUX,62.653846
SBUX,73.904839
SBUX,78.767857
SIAL,0.007143
SIAL,0
SIAL,0.005714
SNDK,1.409615
SNDK,1.210588
SNDK,1.095455
SRCL,0.023077
SRCL,0.075
SRCL,0.069492
SRCL,0.049425
SRCL,0.042857
SYMC,1.15
SYMC,0.7
SYMC,1.131111
SYMC,0.682759
SYMC,0.734615
URBN,4.494118
URBN,4.629412
URBN,4.697368
URBN,3.789286
URBN,4.24537
VRSN,0.013636
VRSN,0.0425
VRSN,0.080952
VRSN,0.091765
WYNN,0.0125
WYNN,0.018605
WYNN,0.056522
WYNN,0.022667
XLNX,0.04375
XLNX,0.028571
XLNX,0.096154
XLNX,0.082653
YHOO,54.256863
YHOO,61.504348
