smblid,avg(T.volumeend)
ADBE,6670987
ADBE,7731688.5
ADBE,7462949.667
ADBE,4677948.667
ADBE,6707370.333
AKAM,5007289.667
AKAM,5245235.5
AKAM,5524895.5
AKAM,6878891.667
AKAM,3542311.25
ALTR,3623007
ALTR,4607324
ALTR,6137516
ALTR,3365958.667
ALXN,150
ALXN,10638.25
ALXN,0
AMAT,14500000
AMAT,9232212.75
AMAT,11575000
AMAT,22100000
AMAT,11133333.33
AMGN,5834471.75
AMGN,7664339
AMGN,4778706.333
AMGN,3980930.75
AMZN,6699665.25
AMZN,9588260
AMZN,5570486.667
AMZN,5247117.75
APOL,5418277.5
BBBY,4895036
BBBY,4581319
BBBY,4608195.25
BBBY,3854481
BIDU,7424753.667
BIDU,3457115
BIDU,7322641.25
BRCM,7341420.5
BRCM,8547005
BRCM,30100000
CELG,6785
CELG,2286.5
CELG,25801
CELG,15150
CERN,2598298
CERN,1196258
CERN,1492430.333
CERN,2063903.75
CHRW,1412350
CHRW,2057579
COST,862742.75
COST,2327811.25
CSCO,61750000
CSCO,62233333.33
CSCO,53800000
CSCO,71966666.67
CTRP,5187526
CTSH,6227
CTXS,4281599.5
CTXS,5061845.5
CTXS,4735491.667
CTXS,3289464.25
CTXS,3553371.5
DELL,26900000
DELL,28700000
DELL,24200000
DELL,13500000
DELL,13800000
DLTR,220916.75
DLTR,85864.5
DLTR,106078
DLTR,143679.75
ESRX,6654153.333
ESRX,9793567
ESRX,7685896.75
ESRX,5405036.5
EXPD,504744
EXPD,1892785.75
EXPD,1716562
EXPE,6435610
EXPE,5091274
EXPE,4678012
EXPE,9453337.5
FAST,390
FAST,1081
FFIV,4172780.5
FFIV,3672767.25
FFIV,1742307.75
FFIV,2777629
FISV,859834
FISV,831365
FISV,780229
FLEX,5646908.667
FLEX,6367446
FLEX,6111118
FLEX,6189129
FLIR,337.5
FLIR,0
FLIR,0
FSLR,7887619
FSLR,7857187.25
GMCR,10550000
GMCR,8224420.333
GRMN,1550
ILMN,2240215
ILMN,1963441
ILMN,1372584
INTU,2948393.143
INTU,2664597.667
INTU,1938867.5
INTU,2314639.75
ISRG,717480.75
KLAC,2751519
KLAC,2449916
KLAC,2013167.667
LLTC,3216161
LRCX,4435358.75
LRCX,2592527.5
LRCX,1801061.25
MCHP,2325229.333
MRVL,14566666.67
MRVL,16550000
MRVL,15200000
MRVL,4195739.333
MXIM,2506662
MXIM,2600009
MXIM,3160201.333
MXIM,5164773
NFLX,9014258.5
NFLX,10142672.25
NFLX,11725000
NFLX,6290848.833
NIHD,8664
NTAP,30950000
NTAP,12600000
NTAP,10200000
NTAP,9101770.667
NVDA,1630859.5
NVDA,20350000
NVDA,21300000
NVDA,14100000
ORCL,37600000
ORCL,37166666.67
ORCL,39325000
ORCL,38225000
PAYX,2583143.5
PAYX,3904410
PCAR,187685.3333
PCAR,144563
PCAR,86505.25
PCLN,2667494.5
PCLN,1045705
QCOM,18833333.33
QCOM,17050000
QCOM,19900000
QGEN,2584963.75
QGEN,909011
QGEN,20551.6667
QGEN,950028.6667
ROST,757927.4286
ROST,625744.75
ROST,270735
ROST,2352583
SBUX,13500000
SBUX,11300000
SBUX,8198492.333
SBUX,7926980
SIAL,46777
SIAL,0
SIAL,0
SNDK,7934731.25
SNDK,10433333.33
SNDK,5596724.75
SRCL,385789.6667
SRCL,1412157
SRCL,374092
SRCL,559467
SRCL,434003
SYMC,9046
SYMC,11450000
SYMC,1768675.667
SYMC,10100000
SYMC,9058592.5
URBN,5771648.75
URBN,5068516
URBN,5330309.5
URBN,2803659.667
URBN,2671350.333
URBN,4088655
VRSN,3846436.25
VRSN,4240904
VRSN,2627392
VRSN,1294938.667
WYNN,1901433.5
WYNN,3207792
WYNN,2774701.333
WYNN,17802.5
XLNX,3286311.25
XLNX,3073902
XLNX,3955938
YHOO,30175000
YHOO,30375000
