smblid,avg(T.volumeend)
ADBE,6676572.6
ADBE,7748845.286
ADBE,7603660.444
ADBE,4677948.667
ADBE,6799524.818
AKAM,5007289.667
AKAM,5279481.111
AKAM,5599576.5
AKAM,6921933.8
AKAM,3557823
ALTR,3624813.818
ALTR,4609040.6
ALTR,6137516
ALTR,3365958.667
ALXN,36116.9167
ALXN,23783.1818
ALXN,31833.7273
AMAT,14500000
AMAT,9238195.875
AMAT,11583333.33
AMAT,22100000
AMAT,11133333.33
AMGN,5842425.875
AMGN,7666568
AMGN,4778706.333
AMGN,3982771.091
AMZN,6789991.875
AMZN,9588260
AMZN,5570486.667
AMZN,5274938.2
APOL,5463515.875
BBBY,4895036
BBBY,4609752.833
BBBY,4620763.5
BBBY,3874442.857
BIDU,7460284
BIDU,3457115
BIDU,7414854.556
BRCM,7367951.5
BRCM,8547005
BRCM,30100000
CELG,631516.1111
CELG,383495.2727
CELG,726092.2
CELG,548018
CERN,2636124.875
CERN,1196258
CERN,1492430.333
CERN,2064016
CHRW,1414182.091
CHRW,2059047.182
COST,1136285.917
COST,2410399.273
CSCO,62262500
CSCO,62480000
CSCO,53800000
CSCO,71966666.67
CTRP,5187526
CTSH,28122.2222
CTXS,4281599.5
CTXS,5073397.9
CTXS,4735491.667
CTXS,3300802.6
CTXS,3587313.556
DELL,26900000
DELL,28700000
DELL,24200000
DELL,13500000
DELL,13800000
DLTR,891367.3333
DLTR,1538994.455
DLTR,2805929.133
DLTR,848632.3636
ESRX,6677941.3
ESRX,9793567
ESRX,7687774.375
ESRX,5408451.333
EXPD,740783.0909
EXPD,2806604.917
EXPD,1716562
EXPE,6463134.125
EXPE,5091274
EXPE,4678012
EXPE,9538240.4
FAST,82912.2727
FAST,162925.9167
FFIV,4252853.8
FFIV,3685475.333
FFIV,1742971
FFIV,2798495.222
FISV,859834
FISV,831365
FISV,780289
FLEX,5646908.667
FLEX,6367446
FLEX,6111118
FLEX,6189129
FLIR,185453.9
FLIR,207861.7
FLIR,311669
FSLR,7887619
FSLR,7920321.727
GMCR,10650000
GMCR,8287519.75
GRMN,397444.5
ILMN,2240215
ILMN,1966076.714
ILMN,1372584
INTU,2948393.143
INTU,2664856
INTU,1939899.167
INTU,2315450.8
ISRG,726551.1667
KLAC,2752111.857
KLAC,2449916
KLAC,2013167.667
LLTC,3216161
LRCX,4442475.417
LRCX,2594515
LRCX,1802050
MCHP,2325229.333
MRVL,14566666.67
MRVL,16640000
MRVL,15266666.67
MRVL,4195739.333
MXIM,2506910.5
MXIM,2600009
MXIM,3160201.333
MXIM,5165373
NFLX,9088800.455
NFLX,10195114.83
NFLX,11828571.43
NFLX,6458786.136
NIHD,63799.5
NTAP,32010000
NTAP,12600000
NTAP,10233333.33
NTAP,9101770.667
NVDA,8215429.75
NVDA,20383333.33
NVDA,21300000
NVDA,14137500
ORCL,37600000
ORCL,37500000
ORCL,39733333.33
ORCL,38550000
PAYX,2585792.417
PAYX,3904855.455
PCAR,1098896.182
PCAR,627693.6
PCAR,544971.8333
PCLN,2749197.1
PCLN,1050015.8
QCOM,18833333.33
QCOM,17183333.33
QCOM,20000000
QGEN,2727508.636
QGEN,909011
QGEN,130217.2
QGEN,950316
ROST,1099057
ROST,1234515.25
ROST,611741.4545
ROST,2352583
SBUX,13775000
SBUX,11300000
SBUX,8198492.333
SBUX,7936685.5
SIAL,310508
SIAL,20246
SIAL,39017.7273
SNDK,7986964.333
SNDK,10733333.33
SNDK,5631589.4
SRCL,385789.6667
SRCL,1412390.333
SRCL,374092
SRCL,559467
SRCL,434003
SYMC,1943427.25
SYMC,11490000
SYMC,5777391.9
SYMC,10190909.09
SYMC,9061177.125
URBN,5869509.286
URBN,5068516
URBN,5341048.667
URBN,2803659.667
URBN,2686477.667
URBN,4088655
VRSN,3846720.625
VRSN,4240904
VRSN,2627392
VRSN,1294975.75
WYNN,1912754.222
WYNN,3207792
WYNN,2774701.333
WYNN,248885.4545
XLNX,3288444.091
XLNX,3073902
XLNX,3955938
YHOO,30283333.33
YHOO,30516666.67
