smblid,avg(T.twitterpermin)
ADBE,10.160000
ADBE,14.657143
ADBE,14.844444
ADBE,59.200000
ADBE,28.572727
AKAM,1.300000
AKAM,1.388889
AKAM,0.625000
AKAM,2.800000
AKAM,0.922222
ALTR,3.381818
ALTR,4.740000
ALTR,5.450000
ALTR,2.833333
ALXN,0.125000
ALXN,0.072727
ALXN,0.118182
AMAT,0.350000
AMAT,1.675000
AMAT,0.383333
AMAT,0.150000
AMAT,3.066667
AMGN,1.837500
AMGN,1.600000
AMGN,0.933333
AMGN,0.936364
AMZN,125.662500
AMZN,208.800000
AMZN,172.066667
AMZN,145.260000
APOL,1.862500
BBBY,0.000000
BBBY,0.000000
BBBY,0.016667
BBBY,0.014286
BIDU,5.266667
BIDU,2.240000
BIDU,1.455556
BRCM,2.033333
BRCM,4.200000
BRCM,1.425000
CELG,0.155556
CELG,0.290909
CELG,0.330000
CELG,1.208333
CERN,0.462500
CERN,0.650000
CERN,0.766667
CERN,0.980000
CHRW,0.018182
CHRW,0.009091
COST,14.541667
COST,6.863636
CSCO,18.075000
CSCO,19.640000
CSCO,14.600000
CSCO,47.866667
CTRP,0.000000
CTSH,1.411111
CTXS,0.950000
CTXS,0.630000
CTXS,2.200000
CTXS,2.440000
CTXS,0.688889
DELL,49.900000
DELL,51.950000
DELL,92.600000
DELL,46.400000
DELL,61.566667
DLTR,0.555556
DLTR,1.063636
DLTR,0.933333
DLTR,0.500000
ESRX,0.710000
ESRX,2.000000
ESRX,1.000000
ESRX,0.566667
EXPD,0.000000
EXPD,0.000000
EXPD,0.000000
EXPE,0.687500
EXPE,3.200000
EXPE,2.450000
EXPE,2.720000
FAST,0.109091
FAST,0.100000
FFIV,0.840000
FFIV,1.533333
FFIV,0.040000
FFIV,0.077778
FISV,0.100000
FISV,0.300000
FISV,0.130000
FLEX,0.133333
FLEX,2.100000
FLEX,0.700000
FLEX,0.100000
FLIR,0.110000
FLIR,0.300000
FLIR,0.010000
FSLR,1.900000
FSLR,1.800000
GMCR,0.500000
GMCR,1.350000
GRMN,7.490000
ILMN,0.309091
ILMN,0.800000
ILMN,0.575000
INTU,0.000000
INTU,3.600000
INTU,0.533333
INTU,0.840000
ISRG,0.300000
KLAC,0.000000
KLAC,0.150000
KLAC,0.000000
LLTC,0.028571
LRCX,0.600000
LRCX,0.066667
LRCX,0.000000
MCHP,0.100000
MRVL,0.300000
MRVL,0.580000
MRVL,1.400000
MRVL,0.066667
MXIM,0.062500
MXIM,0.000000
MXIM,0.000000
MXIM,0.020000
NFLX,47.527273
NFLX,85.333333
NFLX,91.957143
NFLX,92.013636
NIHD,0.130000
NTAP,3.040000
NTAP,1.025000
NTAP,0.983333
NTAP,1.300000
NVDA,10.500000
NVDA,8.733333
NVDA,13.500000
NVDA,4.262500
ORCL,17.350000
ORCL,21.790909
ORCL,22.350000
ORCL,19.900000
PAYX,0.458333
PAYX,0.063636
PCAR,0.409091
PCAR,0.210000
PCAR,0.358333
PCLN,2.150000
PCLN,1.190000
QCOM,25.066667
QCOM,12.950000
QCOM,2.633333
QGEN,0.000000
QGEN,0.000000
QGEN,0.000000
QGEN,0.000000
ROST,0.175000
ROST,0.283333
ROST,0.200000
ROST,0.300000
SBUX,67.312500
SBUX,78.200000
SBUX,82.166667
SBUX,103.800000
SIAL,0.000000
SIAL,0.120000
SIAL,0.045455
SNDK,1.783333
SNDK,1.616667
SNDK,1.160000
SRCL,0.600000
SRCL,0.055556
SRCL,0.000000
SRCL,0.060000
SRCL,0.000000
SYMC,3.491667
SYMC,2.450000
SYMC,3.180000
SYMC,2.236364
SYMC,1.075000
URBN,3.614286
URBN,20.125000
URBN,3.083333
URBN,6.266667
URBN,2.900000
URBN,4.466667
VRSN,0.175000
VRSN,0.700000
VRSN,0.600000
VRSN,0.425000
WYNN,1.311111
WYNN,0.800000
WYNN,0.266667
WYNN,0.172727
XLNX,1.000000
XLNX,0.075000
XLNX,0.200000
YHOO,131.116667
YHOO,89.216667
